date,TAVG_origQcFlag,TAVG_origValue,TAVG_qaFlag,TAVG_qcFlag,TAVG_value,WTEQ_average,WTEQ_origQcFlag,WTEQ_origValue,WTEQ_qaFlag,WTEQ_qcFlag,WTEQ_value,CFS,unit_of_measure,status
1990-08-08,V,59.0,,V,59.0,0.0,E,0.0,,E,0.0,591,ft^3/s,Approved
1990-08-09,V,59.2,,V,59.2,0.0,V,0.0,,V,0.0,582,ft^3/s,Approved
1990-08-10,V,53.4,,V,53.4,0.0,V,0.0,,V,0.0,594,ft^3/s,Approved
1990-08-11,V,48.9,,V,48.9,0.0,V,0.0,,V,0.0,615,ft^3/s,Approved
1990-08-12,V,47.7,,V,47.7,0.0,V,0.0,,V,0.0,605,ft^3/s,Approved
1990-08-13,V,52.2,,V,52.2,0.0,V,0.0,,V,0.0,583,ft^3/s,Approved
1990-08-14,V,56.3,,V,56.3,0.0,V,0.0,,V,0.0,557,ft^3/s,Approved
1990-08-15,V,59.5,,V,59.5,0.0,E,0.0,,E,0.0,543,ft^3/s,Approved
1990-08-16,V,52.9,,V,52.9,0.0,V,0.0,,V,0.0,539,ft^3/s,Approved
1990-08-17,V,48.2,,V,48.2,0.0,V,0.0,,V,0.0,615,ft^3/s,Approved
1990-08-18,V,48.6,,V,48.6,0.0,V,0.0,,V,0.0,605,ft^3/s,Approved
1990-08-19,V,48.7,,V,48.7,0.0,V,0.0,,V,0.0,574,ft^3/s,Approved
1990-08-20,V,47.8,,V,47.8,0.0,E,0.0,,E,0.0,579,ft^3/s,Approved
1990-08-21,V,48.6,,V,48.6,0.0,E,0.0,,E,0.0,555,ft^3/s,Approved
1990-08-22,V,46.6,,V,46.6,0.0,E,0.0,,E,0.0,528,ft^3/s,Approved
1990-08-23,V,42.8,,V,42.8,0.0,E,0.0,,E,0.0,529,ft^3/s,Approved
1990-08-24,V,44.1,,V,44.1,0.0,E,0.0,,E,0.0,560,ft^3/s,Approved
1990-08-25,E,43.2,,E,43.2,0.0,E,0.0,,E,0.0,541,ft^3/s,Approved
1990-08-26,V,43.0,,V,43.0,0.0,E,0.0,,E,0.0,568,ft^3/s,Approved
1990-08-27,V,48.0,,V,48.0,0.0,E,0.0,,E,0.0,527,ft^3/s,Approved
1990-08-28,V,50.0,,V,50.0,0.0,V,0.0,,V,0.0,501,ft^3/s,Approved
1990-08-29,V,53.8,,V,53.8,0.0,V,0.0,,V,0.0,485,ft^3/s,Approved
1990-08-30,E,50.7,,E,50.7,0.0,E,0.0,,E,0.0,474,ft^3/s,Approved
1990-08-31,V,44.6,,V,44.6,0.0,E,0.0,,E,0.0,471,ft^3/s,Approved
1990-09-01,V,49.5,,V,49.5,0.0,V,0.0,,V,0.0,465,ft^3/s,Approved
1990-09-02,V,52.0,,V,52.0,0.0,V,0.0,,V,0.0,459,ft^3/s,Approved
1990-09-03,V,48.4,,V,48.4,0.0,V,0.0,,V,0.0,472,ft^3/s,Approved
1990-09-04,V,52.3,,V,52.3,0.0,E,0.0,,E,0.0,483,ft^3/s,Approved
1990-09-05,V,50.4,,V,50.4,0.0,V,0.0,,V,0.0,473,ft^3/s,Approved
1990-09-06,V,50.2,,V,50.2,0.0,V,0.0,,V,0.0,484,ft^3/s,Approved
1990-09-07,E,51.6,,E,51.6,0.0,E,0.0,,E,0.0,453,ft^3/s,Approved
1990-09-08,V,50.9,,V,50.9,0.0,V,0.0,,V,0.0,444,ft^3/s,Approved
1990-09-09,V,48.9,,V,48.9,0.0,E,0.0,,E,0.0,440,ft^3/s,Approved
1990-09-10,V,49.5,,V,49.5,0.0,E,0.0,,E,0.0,435,ft^3/s,Approved
1990-09-11,V,51.8,,V,51.8,0.0,V,0.0,,V,0.0,428,ft^3/s,Approved
1990-09-12,V,55.4,,V,55.4,0.0,V,0.0,,V,0.0,422,ft^3/s,Approved
1990-09-13,V,44.1,,V,44.1,0.0,E,0.0,,E,0.0,413,ft^3/s,Approved
1990-09-14,V,50.7,,V,50.7,0.0,V,0.0,,V,0.0,409,ft^3/s,Approved
1990-09-15,V,57.4,,V,57.4,0.0,E,0.0,,E,0.0,404,ft^3/s,Approved
1990-09-16,V,50.2,,V,50.2,0.1,E,0.0,,E,0.0,397,ft^3/s,Approved
1990-09-17,V,42.8,,V,42.8,0.1,E,0.0,,E,0.0,396,ft^3/s,Approved
1990-09-18,V,44.4,,V,44.4,0.0,V,0.0,,V,0.0,397,ft^3/s,Approved
1990-09-19,V,44.6,,V,44.6,0.1,E,0.0,,E,0.0,398,ft^3/s,Approved
1990-09-20,V,36.7,,V,36.7,0.1,E,0.0,,E,0.0,400,ft^3/s,Approved
1990-09-21,V,37.2,,V,37.2,0.2,E,0.0,,E,0.0,398,ft^3/s,Approved
1990-09-22,V,39.4,,V,39.4,0.2,E,0.0,,E,0.0,392,ft^3/s,Approved
1990-09-23,V,44.2,,V,44.2,0.2,E,0.0,,E,0.0,386,ft^3/s,Approved
1990-09-24,V,47.1,,V,47.1,0.1,E,0.0,,E,0.0,382,ft^3/s,Approved
