date,agency_cd,site_no,CFS,status
1991-07-05,USGS,06043500,1960,A
1991-07-06,USGS,06043500,1830,A
1991-07-07,USGS,06043500,1700,A
1991-07-08,USGS,06043500,1590,A
1991-07-09,USGS,06043500,1520,A
1991-07-10,USGS,06043500,1520,A
1991-07-11,USGS,06043500,1420,A
1991-07-12,USGS,06043500,1330,A
1991-07-13,USGS,06043500,1270,A
1991-07-14,USGS,06043500,1230,A
1991-07-15,USGS,06043500,1180,A
1991-07-16,USGS,06043500,1120,A
1991-07-17,USGS,06043500,1080,A
1991-07-18,USGS,06043500,1030,A
1991-07-19,USGS,06043500,985,A
1991-07-20,USGS,06043500,944,A
1991-07-21,USGS,06043500,924,A
